procs, threads, runs, GFlops
1,1,1,1.13172
1,1,2,1.13348
1,1,3,1.13079
1,1,4,1.13322
1,1,5,1.13174
1,16,1,1.32187
1,16,2,1.277
1,16,3,1.30882
1,16,4,1.3112
1,16,5,1.27355
1,2,1,1.22319
1,2,2,1.19132
1,2,3,1.24563
1,2,4,1.24586
1,2,5,1.14762
1,4,1,1.32495
1,4,2,1.23139
1,4,3,1.31821
1,4,4,1.33614
1,4,5,1.30433
1,8,1,1.36342
1,8,2,1.36171
1,8,3,1.28722
1,8,4,1.31206
1,8,5,1.28887
2,1,1,2.13179
2,1,2,2.12697
2,1,3,2.11588
2,1,4,2.12333
2,1,5,1.90106
2,2,1,2.23308
2,2,2,2.3549
2,2,3,2.43627
2,2,4,2.36592
2,2,5,2.36215
2,4,1,2.49257
2,4,2,2.34831
2,4,3,2.4206
2,4,4,2.45345
2,4,5,2.39586
2,8,1,2.55781
2,8,2,2.43133
2,8,3,2.53458
2,8,4,2.49354
2,8,5,2.44857
