Nodes, procs, runs, NB, P, Q, time, GFlops
1,1,1,32,1,1,66.67,5.1216e+00
1,1,1,64,1,1,56.59,6.0332e+00
1,1,1,128,1,1,53.95,6.3282e+00
1,1,1,256,1,1,53.26,6.4102e+00
1,1,2,32,1,1,65.28,5.2301e+00
1,1,2,64,1,1,55.90,6.1077e+00
1,1,2,128,1,1,53.74,6.3539e+00
1,1,2,256,1,1,53.06,6.4342e+00
1,1,3,32,1,1,67.07,5.0910e+00
1,1,3,64,1,1,56.77,6.0138e+00
1,1,3,128,1,1,53.96,6.3276e+00
1,1,3,256,1,1,53.15,6.4240e+00
1,1,4,32,1,1,66.24,5.1544e+00
1,1,4,64,1,1,56.27,6.0676e+00
1,1,4,128,1,1,53.73,6.3545e+00
1,1,4,256,1,1,53.05,6.4359e+00
1,1,5,32,1,1,67.06,5.0918e+00
1,1,5,64,1,1,56.70,6.0217e+00
1,1,5,128,1,1,53.93,6.3305e+00
1,1,5,256,1,1,53.16,6.4223e+00
1,2,1,32,1,2,32.95,1.0363e+01
1,2,1,64,1,2,28.68,1.1903e+01
1,2,1,128,1,2,27.91,1.2233e+01
1,2,1,256,1,2,28.27,1.2076e+01
1,2,1,32,2,1,33.70,1.0132e+01
1,2,1,64,2,1,29.55,1.1553e+01
1,2,1,128,2,1,28.50,1.1978e+01
1,2,1,256,2,1,28.87,1.1826e+01
1,2,2,32,1,2,32.92,1.0373e+01
1,2,2,64,1,2,28.78,1.1865e+01
1,2,2,128,1,2,27.94,1.2220e+01
1,2,2,256,1,2,28.29,1.2067e+01
1,2,2,32,2,1,33.83,1.0092e+01
1,2,2,64,2,1,29.73,1.1483e+01
1,2,2,128,2,1,28.54,1.1964e+01
1,2,2,256,2,1,28.87,1.1826e+01
1,2,3,32,1,2,32.96,1.0359e+01
1,2,3,64,1,2,28.75,1.1875e+01
1,2,3,128,1,2,27.93,1.2224e+01
1,2,3,256,1,2,28.28,1.2073e+01
1,2,3,32,2,1,33.70,1.0132e+01
1,2,3,64,2,1,29.72,1.1489e+01
1,2,3,128,2,1,28.51,1.1976e+01
1,2,3,256,2,1,28.87,1.1827e+01
1,2,4,32,1,2,32.65,1.0459e+01
1,2,4,64,1,2,28.76,1.1871e+01
1,2,4,128,1,2,27.94,1.2222e+01
1,2,4,256,1,2,28.29,1.2069e+01
1,2,4,32,2,1,33.70,1.0130e+01
1,2,4,64,2,1,29.69,1.1499e+01
1,2,4,128,2,1,28.55,1.1959e+01
