no_binding,,,,,
Processes,Function,Best Rate MB/s,Avg time,Min time,Max time
1,Copy,1.44E+04,0.10,0.07,0.37
1,Scale,8.64E+03,0.14,0.11,0.37
1,Add,9.28E+03,0.22,0.16,0.68
1,Triad,9.31E+03,0.17,0.15,0.27
2,Copy,2.84E+04,0.06,0.03,0.14
2,Scale,1.71E+04,0.08,0.06,0.14
2,Add,1.83E+04,0.12,0.08,0.25
2,Triad,1.83E+04,0.12,0.08,0.28
4,Copy,4.13E+04,0.04,0.02,0.09
4,Scale,2.76E+04,0.06,0.03,0.14
4,Add,3.01E+04,0.07,0.05,0.14
4,Triad,3.02E+04,0.07,0.05,0.11
8,Copy,3.83E+04,0.05,0.03,0.11
8,Scale,2.90E+04,0.05,0.03,0.13
8,Add,3.28E+04,0.07,0.04,0.15
8,Triad,3.35E+04,0.06,0.04,0.12
16,Copy,4.69E+04,0.02,0.02,0.02
16,Scale,3.41E+04,0.03,0.03,0.03
16,Add,3.81E+04,0.04,0.04,0.04
16,Triad,3.84E+04,0.04,0.04,0.04
one_same_numa,,,,,
proc,function,Best Rate MB/s,Avg time,Min time,Max time
1,Copy,1.42E+04,0.07,0.07,0.07
1,Scale,8.53E+03,0.11,0.11,0.11
1,Add,9.19E+03,0.16,0.16,0.16
1,Triad,9.18E+03,0.16,0.16,0.16
2,Copy,2.30E+04,0.04,0.04,0.04
2,Scale,1.42E+04,0.07,0.07,0.07
2,Add,1.56E+04,0.09,0.09,0.09
2,Triad,1.56E+04,0.09,0.09,0.09
4,Copy,2.49E+04,0.04,0.04,0.04
4,Scale,1.72E+04,0.06,0.06,0.06
4,Add,1.96E+04,0.07,0.07,0.07
4,Triad,1.95E+04,0.07,0.07,0.07
8,Copy,2.42E+04,0.04,0.04,0.04
8,Scale,1.70E+04,0.06,0.06,0.06
8,Add,1.94E+04,0.07,0.07,0.07
8,Triad,1.94E+04,0.07,0.07,0.07
16,Copy,2.44E+04,0.04,0.04,0.04
16,Scale,1.73E+04,0.06,0.06,0.06
16,Add,1.96E+04,0.07,0.07,0.08
16,Triad,1.96E+04,0.07,0.07,0.08
one_diff_numa,,,,,
proc,function,Best Rate MB/s,Avg time,Min time,Max time
1,Copy,1.42E+04,0.07,0.07,0.07
1,Scale,8.54E+03,0.11,0.11,0.11
1,Add,9.20E+03,0.16,0.16,0.16
1,Triad,9.20E+03,0.16,0.16,0.16
2,Copy,2.87E+04,0.04,0.04,0.04
2,Scale,1.73E+04,0.06,0.06,0.06
2,Add,1.86E+04,0.08,0.08,0.08
2,Triad,1.86E+04,0.08,0.08,0.08
4,Copy,4.16E+04,0.03,0.03,0.03
4,Scale,2.68E+04,0.04,0.04,0.04
4,Add,2.94E+04,0.05,0.05,0.05
4,Triad,2.95E+04,0.05,0.05,0.05
8,Copy,4.19E+04,0.03,0.02,0.03
8,Scale,3.13E+04,0.03,0.03,0.04
8,Add,3.46E+04,0.05,0.04,0.05
8,Triad,3.49E+04,0.05,0.04,0.05
16,Copy,4.76E+04,0.02,0.02,0.02
16,Scale,3.48E+04,0.03,0.03,0.03
16,Add,3.87E+04,0.04,0.04,0.04
16,Triad,3.91E+04,0.04,0.04,0.04
two_same_numa,,,,,
proc,function,Best Rate MB/s,Avg time,Min time,Max time
1,Copy,1.42E+04,0.07,0.07,0.07
1,Scale,8.54E+03,0.11,0.11,0.11
1,Add,9.19E+03,0.16,0.16,0.16
1,Triad,9.21E+03,0.16,0.16,0.16
2,Copy,2.73E+04,0.04,0.04,0.04
2,Scale,1.69E+04,0.06,0.06,0.06
2,Add,1.80E+04,0.08,0.08,0.08
2,Triad,1.80E+04,0.08,0.08,0.08
4,Copy,3.83E+04,0.03,0.03,0.03
4,Scale,2.61E+04,0.04,0.04,0.04
4,Add,2.84E+04,0.05,0.05,0.05
4,Triad,2.84E+04,0.05,0.05,0.05
8,Copy,3.77E+04,0.03,0.03,0.03
8,Scale,2.84E+04,0.04,0.04,0.04
8,Add,3.18E+04,0.05,0.05,0.05
8,Triad,3.16E+04,0.05,0.05,0.05
16,Copy,4.73E+04,0.02,0.02,0.02
16,Scale,3.43E+04,0.03,0.03,0.03
16,Add,3.83E+04,0.04,0.04,0.04
16,Triad,3.86E+04,0.04,0.04,0.04
