1,Copy,1.44E+04,0.10,0.07,0.37
1,Scale,8.64E+03,0.14,0.11,0.37
1,Add,9.28E+03,0.22,0.16,0.68
1,Triad,9.31E+03,0.17,0.15,0.27
2,Copy,2.84E+04,0.06,0.03,0.14
2,Scale,1.71E+04,0.08,0.06,0.14
2,Add,1.83E+04,0.12,0.08,0.25
2,Triad,1.83E+04,0.12,0.08,0.28
4,Copy,4.13E+04,0.04,0.02,0.09
4,Scale,2.76E+04,0.06,0.03,0.14
4,Add,3.01E+04,0.07,0.05,0.14
4,Triad,3.02E+04,0.07,0.05,0.11
8,Copy,3.83E+04,0.05,0.03,0.11
8,Scale,2.90E+04,0.05,0.03,0.13
8,Add,3.28E+04,0.07,0.04,0.15
8,Triad,3.35E+04,0.06,0.04,0.12
16,Copy,4.69E+04,0.02,0.02,0.02
16,Scale,3.41E+04,0.03,0.03,0.03
16,Add,3.81E+04,0.04,0.04,0.04
16,Triad,3.84E+04,0.04,0.04,0.04
